2026-03-16 06:21:09 - legacy_replication - INFO - Config: {
  "model_type": "legacy_replication",
  "batch_size": 512,
  "micro_batch_size": 32,
  "accumulation_steps": 16,
  "effective_batch_size": 512,
  "embedding_size": 256,
  "nhid": 512,
  "nhead": 16,
  "nlayers": 6,
  "ndropout": 0.05,
  "cd_cnt": 75516,
  "target_cd_cnt": 6297,
  "lob_vocab": 4,
  "len_dy": 200,
  "len_cd": 80,
  "optimizer": "SGD",
  "learning_rate": 0.01,
  "momentum": 0.9,
  "scheduler": "CosineAnnealingLR",
  "T_max": 1,
  "loss": "BCEWithLogitsLoss",
  "gradient_clip": 0.25,
  "val_split": 0.1,
  "num_epochs": 1,
  "total_params": 24880025,
  "training_table": "edp-prod-storage.edp_ent_sdoheir_cns.a834793_Combined_All_LOB_o3_train_10pct_sample",
  "train_samples": 1579185,
  "val_samples": 175466,
  "parallel": true,
  "num_gpus": 4,
  "bug_fixes": [
    "no_log_softmax",
    "clip_before_step",
    "no_double_update"
  ],
  "mixed_precision": true,
  "differences_from_moe_framework": {
    "no_mixed_precision": false,
    "no_moe": true,
    "sgd_not_adamw": true,
    "nhid_512_not_1024": true,
    "batch_512_not_32": true
  }
}
2026-03-16 06:41:24 - legacy_replication - DEBUG -     Loss: 0.6098 | R@10: 0.009 | R@20: 0.017 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.001 | PosBrier: 0.3301
2026-03-16 06:41:59 - legacy_replication - DEBUG -     Loss: 0.6049 | R@10: 0.002 | R@20: 0.010 | uR@10: 0.000 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.3345
2026-03-16 06:43:31 - legacy_replication - DEBUG -     Loss: 0.6002 | R@10: 0.004 | R@20: 0.010 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.3310
2026-03-16 06:44:07 - legacy_replication - DEBUG -     Loss: 0.5952 | R@10: 0.005 | R@20: 0.021 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.3422
2026-03-16 06:44:44 - legacy_replication - DEBUG -     Loss: 0.5899 | R@10: 0.003 | R@20: 0.007 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.000 | PosBrier: 0.3425
2026-03-16 06:45:22 - legacy_replication - DEBUG -     Loss: 0.5853 | R@10: 0.007 | R@20: 0.020 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.001 | PosBrier: 0.3409
2026-03-16 06:45:59 - legacy_replication - DEBUG -     Loss: 0.5806 | R@10: 0.003 | R@20: 0.009 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.3560
2026-03-16 06:47:34 - legacy_replication - DEBUG -     Loss: 0.5757 | R@10: 0.008 | R@20: 0.019 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.001 | PosBrier: 0.3503
2026-03-16 06:48:11 - legacy_replication - DEBUG -     Loss: 0.5706 | R@10: 0.003 | R@20: 0.014 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.3464
2026-03-16 06:48:47 - legacy_replication - DEBUG -     Loss: 0.5662 | R@10: 0.005 | R@20: 0.017 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.001 | PosBrier: 0.3517
2026-03-16 06:49:23 - legacy_replication - DEBUG -     Loss: 0.5618 | R@10: 0.006 | R@20: 0.013 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.001 | PosBrier: 0.3581
2026-03-16 06:50:00 - legacy_replication - DEBUG -     Loss: 0.5577 | R@10: 0.004 | R@20: 0.010 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.3484
2026-03-16 06:51:28 - legacy_replication - DEBUG -     Loss: 0.5524 | R@10: 0.003 | R@20: 0.012 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.3514
2026-03-16 06:52:05 - legacy_replication - DEBUG -     Loss: 0.5478 | R@10: 0.005 | R@20: 0.011 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.3561
2026-03-16 06:52:41 - legacy_replication - DEBUG -     Loss: 0.5435 | R@10: 0.003 | R@20: 0.013 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.3459
2026-03-16 06:53:17 - legacy_replication - DEBUG -     Loss: 0.5396 | R@10: 0.008 | R@20: 0.021 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.001 | PosBrier: 0.3639
2026-03-16 06:53:54 - legacy_replication - DEBUG -     Loss: 0.5350 | R@10: 0.005 | R@20: 0.020 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.001 | PosBrier: 0.3573
2026-03-16 06:55:22 - legacy_replication - DEBUG -     Loss: 0.5302 | R@10: 0.008 | R@20: 0.017 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.001 | PosBrier: 0.3612
2026-03-16 06:55:59 - legacy_replication - DEBUG -     Loss: 0.5265 | R@10: 0.007 | R@20: 0.025 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.3677
2026-03-16 06:56:36 - legacy_replication - DEBUG -     Loss: 0.5226 | R@10: 0.009 | R@20: 0.021 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.3614
2026-03-16 06:57:12 - legacy_replication - DEBUG -     Loss: 0.5177 | R@10: 0.007 | R@20: 0.021 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.001 | PosBrier: 0.3670
2026-03-16 06:57:50 - legacy_replication - DEBUG -     Loss: 0.5139 | R@10: 0.005 | R@20: 0.017 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.001 | PosBrier: 0.3680
2026-03-16 06:59:27 - legacy_replication - DEBUG -     Loss: 0.5096 | R@10: 0.012 | R@20: 0.032 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.3654
2026-03-16 07:00:05 - legacy_replication - DEBUG -     Loss: 0.5056 | R@10: 0.013 | R@20: 0.031 | uR@10: 0.003 | P@10: 0.001 | NDCG@20: 0.003 | PosBrier: 0.3716
2026-03-16 07:00:42 - legacy_replication - DEBUG -     Loss: 0.5010 | R@10: 0.004 | R@20: 0.018 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.3747
2026-03-16 07:01:19 - legacy_replication - DEBUG -     Loss: 0.4975 | R@10: 0.012 | R@20: 0.031 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.3677
2026-03-16 07:01:56 - legacy_replication - DEBUG -     Loss: 0.4938 | R@10: 0.004 | R@20: 0.015 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.001 | PosBrier: 0.3917
2026-03-16 07:03:24 - legacy_replication - DEBUG -     Loss: 0.4903 | R@10: 0.010 | R@20: 0.029 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.3825
