2026-01-10 00:32:45 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0050 | R@10: 0.469 | R@20: 0.591 | μR@10: 0.209 | P@10: 0.098 | NDCG@20: 0.168 | PosBrier: 0.9100
2026-01-10 00:35:17 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0048 | R@10: 0.531 | R@20: 0.632 | μR@10: 0.226 | P@10: 0.106 | NDCG@20: 0.184 | PosBrier: 0.9000
2026-01-10 00:37:51 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0049 | R@10: 0.550 | R@20: 0.664 | μR@10: 0.215 | P@10: 0.105 | NDCG@20: 0.187 | PosBrier: 0.9045
2026-01-10 00:40:24 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0047 | R@10: 0.575 | R@20: 0.670 | μR@10: 0.236 | P@10: 0.116 | NDCG@20: 0.197 | PosBrier: 0.8879
2026-01-10 00:43:06 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0054 | R@10: 0.542 | R@20: 0.649 | μR@10: 0.209 | P@10: 0.119 | NDCG@20: 0.186 | PosBrier: 0.8747
2026-01-10 00:45:51 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0051 | R@10: 0.521 | R@20: 0.621 | μR@10: 0.217 | P@10: 0.117 | NDCG@20: 0.188 | PosBrier: 0.8701
2026-01-10 00:48:25 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0042 | R@10: 0.598 | R@20: 0.708 | μR@10: 0.257 | P@10: 0.113 | NDCG@20: 0.228 | PosBrier: 0.8768
2026-01-10 00:50:59 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0041 | R@10: 0.627 | R@20: 0.724 | μR@10: 0.290 | P@10: 0.139 | NDCG@20: 0.246 | PosBrier: 0.8365
2026-01-10 00:53:34 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0042 | R@10: 0.581 | R@20: 0.689 | μR@10: 0.287 | P@10: 0.135 | NDCG@20: 0.241 | PosBrier: 0.8517
2026-01-10 00:56:09 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0039 | R@10: 0.579 | R@20: 0.712 | μR@10: 0.275 | P@10: 0.120 | NDCG@20: 0.245 | PosBrier: 0.8639
2026-01-10 00:58:43 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0043 | R@10: 0.673 | R@20: 0.772 | μR@10: 0.294 | P@10: 0.151 | NDCG@20: 0.269 | PosBrier: 0.8425
2026-01-10 01:01:20 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0037 | R@10: 0.561 | R@20: 0.689 | μR@10: 0.303 | P@10: 0.126 | NDCG@20: 0.246 | PosBrier: 0.8462
2026-01-10 01:03:55 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0041 | R@10: 0.682 | R@20: 0.782 | μR@10: 0.315 | P@10: 0.157 | NDCG@20: 0.286 | PosBrier: 0.8216
2026-01-10 01:06:28 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0040 | R@10: 0.686 | R@20: 0.781 | μR@10: 0.331 | P@10: 0.163 | NDCG@20: 0.294 | PosBrier: 0.8210
2026-01-10 01:09:03 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0040 | R@10: 0.666 | R@20: 0.780 | μR@10: 0.339 | P@10: 0.168 | NDCG@20: 0.304 | PosBrier: 0.7986
2026-01-10 01:11:34 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0039 | R@10: 0.644 | R@20: 0.760 | μR@10: 0.304 | P@10: 0.143 | NDCG@20: 0.273 | PosBrier: 0.8385
2026-01-10 01:14:07 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0040 | R@10: 0.645 | R@20: 0.741 | μR@10: 0.320 | P@10: 0.154 | NDCG@20: 0.277 | PosBrier: 0.8101
2026-01-10 01:16:40 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0038 | R@10: 0.704 | R@20: 0.792 | μR@10: 0.361 | P@10: 0.172 | NDCG@20: 0.318 | PosBrier: 0.7993
2026-01-10 01:19:22 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0045 | R@10: 0.640 | R@20: 0.741 | μR@10: 0.296 | P@10: 0.165 | NDCG@20: 0.275 | PosBrier: 0.8274
2026-01-10 01:21:58 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0037 | R@10: 0.633 | R@20: 0.735 | μR@10: 0.340 | P@10: 0.152 | NDCG@20: 0.287 | PosBrier: 0.8092
2026-01-10 01:24:31 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0037 | R@10: 0.694 | R@20: 0.799 | μR@10: 0.343 | P@10: 0.161 | NDCG@20: 0.312 | PosBrier: 0.7979
2026-01-10 01:27:03 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0039 | R@10: 0.669 | R@20: 0.762 | μR@10: 0.345 | P@10: 0.169 | NDCG@20: 0.298 | PosBrier: 0.7779
2026-01-10 01:29:37 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0038 | R@10: 0.712 | R@20: 0.789 | μR@10: 0.363 | P@10: 0.179 | NDCG@20: 0.322 | PosBrier: 0.7782
2026-01-10 01:32:11 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0034 | R@10: 0.686 | R@20: 0.796 | μR@10: 0.400 | P@10: 0.179 | NDCG@20: 0.338 | PosBrier: 0.7698
2026-01-10 01:34:41 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0037 | R@10: 0.719 | R@20: 0.798 | μR@10: 0.370 | P@10: 0.177 | NDCG@20: 0.337 | PosBrier: 0.7860
2026-01-10 01:37:11 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0038 | R@10: 0.736 | R@20: 0.822 | μR@10: 0.354 | P@10: 0.176 | NDCG@20: 0.326 | PosBrier: 0.7818
2026-01-10 01:39:49 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0038 | R@10: 0.670 | R@20: 0.773 | μR@10: 0.353 | P@10: 0.171 | NDCG@20: 0.313 | PosBrier: 0.7931
2026-01-10 01:42:23 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0038 | R@10: 0.749 | R@20: 0.836 | μR@10: 0.382 | P@10: 0.195 | NDCG@20: 0.355 | PosBrier: 0.7675
2026-01-10 01:45:07 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0043 | R@10: 0.687 | R@20: 0.792 | μR@10: 0.346 | P@10: 0.193 | NDCG@20: 0.319 | PosBrier: 0.7935
2026-01-10 01:47:40 - exp2b_flash_learned_pool - DEBUG -     Loss: 0.0037 | R@10: 0.768 | R@20: 0.837 | μR@10: 0.370 | P@10: 0.179 | NDCG@20: 0.351 | PosBrier: 0.7752
