2026-01-08 07:21:24 - exp1_dense_baseline - DEBUG -     Loss: 0.0044 | R@10: 0.570 | R@20: 0.663 | μR@10: 0.249 | P@10: 0.104 | NDCG@20: 0.210 | PosBrier: 0.8920
2026-01-08 07:24:04 - exp1_dense_baseline - DEBUG -     Loss: 0.0042 | R@10: 0.557 | R@20: 0.661 | μR@10: 0.289 | P@10: 0.126 | NDCG@20: 0.228 | PosBrier: 0.8447
2026-01-08 07:26:45 - exp1_dense_baseline - DEBUG -     Loss: 0.0045 | R@10: 0.593 | R@20: 0.673 | μR@10: 0.265 | P@10: 0.126 | NDCG@20: 0.219 | PosBrier: 0.8693
2026-01-08 07:29:23 - exp1_dense_baseline - DEBUG -     Loss: 0.0047 | R@10: 0.623 | R@20: 0.722 | μR@10: 0.291 | P@10: 0.157 | NDCG@20: 0.258 | PosBrier: 0.8443
2026-01-08 07:32:00 - exp1_dense_baseline - DEBUG -     Loss: 0.0044 | R@10: 0.603 | R@20: 0.710 | μR@10: 0.258 | P@10: 0.125 | NDCG@20: 0.228 | PosBrier: 0.8760
2026-01-08 07:34:35 - exp1_dense_baseline - DEBUG -     Loss: 0.0042 | R@10: 0.632 | R@20: 0.730 | μR@10: 0.294 | P@10: 0.139 | NDCG@20: 0.256 | PosBrier: 0.8484
2026-01-08 07:37:09 - exp1_dense_baseline - DEBUG -     Loss: 0.0045 | R@10: 0.605 | R@20: 0.729 | μR@10: 0.309 | P@10: 0.163 | NDCG@20: 0.264 | PosBrier: 0.8127
2026-01-08 07:39:45 - exp1_dense_baseline - DEBUG -     Loss: 0.0038 | R@10: 0.548 | R@20: 0.686 | μR@10: 0.274 | P@10: 0.108 | NDCG@20: 0.228 | PosBrier: 0.8740
2026-01-08 07:42:26 - exp1_dense_baseline - DEBUG -     Loss: 0.0043 | R@10: 0.634 | R@20: 0.747 | μR@10: 0.288 | P@10: 0.139 | NDCG@20: 0.260 | PosBrier: 0.8400
2026-01-08 07:45:07 - exp1_dense_baseline - DEBUG -     Loss: 0.0043 | R@10: 0.640 | R@20: 0.767 | μR@10: 0.317 | P@10: 0.163 | NDCG@20: 0.279 | PosBrier: 0.8264
2026-01-08 07:47:44 - exp1_dense_baseline - DEBUG -     Loss: 0.0039 | R@10: 0.598 | R@20: 0.709 | μR@10: 0.307 | P@10: 0.139 | NDCG@20: 0.261 | PosBrier: 0.8246
2026-01-08 07:50:19 - exp1_dense_baseline - DEBUG -     Loss: 0.0037 | R@10: 0.661 | R@20: 0.783 | μR@10: 0.340 | P@10: 0.147 | NDCG@20: 0.293 | PosBrier: 0.8241
2026-01-08 07:52:55 - exp1_dense_baseline - DEBUG -     Loss: 0.0039 | R@10: 0.596 | R@20: 0.711 | μR@10: 0.318 | P@10: 0.146 | NDCG@20: 0.271 | PosBrier: 0.8166
2026-01-08 07:55:31 - exp1_dense_baseline - DEBUG -     Loss: 0.0042 | R@10: 0.628 | R@20: 0.752 | μR@10: 0.298 | P@10: 0.147 | NDCG@20: 0.272 | PosBrier: 0.8304
2026-01-08 07:58:12 - exp1_dense_baseline - DEBUG -     Loss: 0.0036 | R@10: 0.649 | R@20: 0.750 | μR@10: 0.323 | P@10: 0.135 | NDCG@20: 0.274 | PosBrier: 0.8399
2026-01-08 08:00:52 - exp1_dense_baseline - DEBUG -     Loss: 0.0035 | R@10: 0.646 | R@20: 0.753 | μR@10: 0.336 | P@10: 0.138 | NDCG@20: 0.288 | PosBrier: 0.8418
2026-01-08 08:03:33 - exp1_dense_baseline - DEBUG -     Loss: 0.0035 | R@10: 0.667 | R@20: 0.779 | μR@10: 0.343 | P@10: 0.147 | NDCG@20: 0.296 | PosBrier: 0.8071
2026-01-08 08:06:15 - exp1_dense_baseline - DEBUG -     Loss: 0.0040 | R@10: 0.683 | R@20: 0.781 | μR@10: 0.340 | P@10: 0.170 | NDCG@20: 0.303 | PosBrier: 0.7878
2026-01-08 08:08:50 - exp1_dense_baseline - DEBUG -     Loss: 0.0043 | R@10: 0.686 | R@20: 0.791 | μR@10: 0.323 | P@10: 0.177 | NDCG@20: 0.299 | PosBrier: 0.8071
2026-01-08 08:11:25 - exp1_dense_baseline - DEBUG -     Loss: 0.0036 | R@10: 0.649 | R@20: 0.760 | μR@10: 0.346 | P@10: 0.152 | NDCG@20: 0.292 | PosBrier: 0.8100
2026-01-08 08:14:01 - exp1_dense_baseline - DEBUG -     Loss: 0.0042 | R@10: 0.683 | R@20: 0.780 | μR@10: 0.338 | P@10: 0.175 | NDCG@20: 0.310 | PosBrier: 0.7840
2026-01-08 08:16:36 - exp1_dense_baseline - DEBUG -     Loss: 0.0038 | R@10: 0.716 | R@20: 0.793 | μR@10: 0.370 | P@10: 0.174 | NDCG@20: 0.323 | PosBrier: 0.7970
